Category,2024/25 (mDKK),2023/24 (mDKK)
Revenue,46317,41443
Gross profit,15627,13408
Staff expenses,-8715,-7693
Depreciation and amortisation,-1219,-1188
Other operating expenses,-71,-97
Profit before financial items,5622,4430
Financial income,178,189
Financial expenses,-318,-422
Profit before tax,5482,4197
Tax on profit for the year,-1065,-686
Result for the year,4417,3511
